id,retrenchment,specific,specific_d,rwgov,year
1,0,,1,1,2006
3,0,4,1,1,1984
4,0,6,1,1,1986
5,0,1,1,1,1985
6,0,7,1,1,1988
7,0,4,1,1,1988
8,0,4,1,1,1991
9,0,3,1,1,1991
10,0,6,1,1,2002
11,0,1,1,1,2003
12,1,5,1,1,2002
13,0,4,1,1,2006
14,0,3,1,1,2007
15,0,2,1,1,2006
16,1,4,1,1,2006
17,0,4,1,1,1985
18,0,7,1,1,1986
19,,4,1,1,1987
20,0,1,1,1,1990
21,,1,1,1,1990
22,0,4,1,1,2004
23,0,3,1,1,2002
24,0,6,1,1,2006
25,0,1,1,1,2009
50,0,0,0,1,1983
51,0,0,0,1,1983
52,1,0,0,1,1982
53,1,0,0,1,1982
54,0,0,0,1,1985
55,0,0,0,1,1984
56,0,0,0,1,1985
57,0,0,0,1,1985
58,0,0,0,1,1985
59,0,0,0,1,1986
60,0,0,0,1,1987
61,0,0,0,1,1987
62,0,0,0,1,1984
63,1,0,0,1,1986
64,1,0,0,1,1985
65,1,0,0,1,1984
66,1,0,0,1,1986
67,1,0,0,1,1986
68,1,0,0,1,1986
69,,0,0,1,1986
70,,0,0,1,1987
71,,0,0,1,1987
72,0,0,0,1,1987
73,0,0,0,1,1988
74,1,0,0,1,1988
75,,0,0,1,1987
76,,0,0,1,1987
77,0,0,0,1,1990
78,0,0,0,1,1989
79,0,0,0,1,1988
80,0,0,0,1,1988
81,0,0,0,1,1990
82,1,0,0,1,1989
83,1,0,0,1,1989
84,0,0,0,1,1991
85,0,0,0,1,1991
86,1,0,0,1,1991
87,1,0,0,1,1991
88,1,0,0,1,1991
89,0,0,0,1,2004
90,0,0,0,1,2004
91,0,0,0,1,2002
92,0,0,0,1,2002
93,0,0,0,1,2004
94,0,0,0,1,2003
95,0,0,0,1,2004
96,0,0,0,1,2003
97,0,0,0,1,2003
98,0,0,0,1,2004
99,0,0,0,1,2003
100,0,0,0,1,2004
101,0,0,0,1,2004
102,0,0,0,1,2004
103,0,0,0,1,2003
104,0,0,0,1,2003
105,0,0,0,1,2002
106,0,0,0,1,2002
107,0,0,0,1,2002
108,1,0,0,1,2004
109,1,0,0,1,2002
110,1,0,0,1,2004
111,1,0,0,1,2003
112,1,0,0,1,2002
113,1,0,0,1,2002
114,1,0,0,1,2004
115,1,0,0,1,2003
116,1,0,0,1,2002
117,1,0,0,1,2002
118,1,0,0,1,2002
119,1,0,0,1,2002
120,1,0,0,1,2002
121,,0,0,1,2002
122,,0,0,1,2002
123,,0,0,1,2004
124,,0,0,1,2004
125,0,0,0,1,2005
126,0,0,0,1,2005
127,0,0,0,1,2006
128,0,0,0,1,2006
129,0,0,0,1,2006
130,0,0,0,1,2006
131,0,0,0,1,2007
132,0,0,0,1,2007
133,0,0,0,1,2007
134,0,0,0,1,2006
135,0,0,0,1,2006
136,0,0,0,1,2006
137,0,0,0,1,2005
138,0,0,0,1,2005
139,0,0,0,1,2005
140,0,0,0,1,2005
141,0,0,0,1,2005
142,0,0,0,1,2005
143,1,0,0,1,2006
144,1,0,0,1,2005
145,1,0,0,1,2007
146,1,0,0,1,2006
147,1,0,0,1,2006
148,1,0,0,1,2006
149,,0,0,1,2005
150,0,0,0,1,2008
151,0,0,0,1,2008
152,0,0,0,1,2009
153,0,0,0,1,2009
154,0,0,0,1,2008
155,0,0,0,1,2008
156,0,0,0,1,2008
157,1,0,0,1,2008
158,1,0,0,1,2008
159,1,0,0,1,2008
160,1,0,0,1,2008
161,1,0,0,1,2008
162,0,0,0,1,2009
163,0,0,0,1,2009
164,1,0,0,1,2009
165,1,0,0,1,2009
166,1,0,0,1,2009
167,1,0,0,1,2009
168,1,0,0,1,1983
169,0,0,0,1,1985
170,1,0,0,1,1984
171,1,0,0,1,1985
172,,0,0,1,1987
173,,0,0,1,1985
174,,0,0,1,1986
175,,0,0,1,1984
176,0,0,0,1,1987
177,,0,0,1,1987
178,0,0,0,1,1989
179,0,0,0,1,1990
180,0,0,0,1,1989
181,0,0,0,1,1989
182,0,0,0,1,1991
183,1,0,0,1,1991
184,0,0,0,1,2003
185,0,0,0,1,2002
186,0,0,0,1,2002
187,0,0,0,1,2002
188,0,0,0,1,2002
189,0,0,0,1,2004
190,0,0,0,1,2004
191,0,0,0,1,2004
192,0,0,0,1,2004
193,0,0,0,1,2004
194,0,0,0,1,2003
195,0,0,0,1,2003
196,0,0,0,1,2002
197,1,0,0,1,2002
198,1,0,0,1,2003
199,1,0,0,1,2004
200,1,0,0,1,2003
201,1,0,0,1,2002
202,,0,0,1,2004
203,,0,0,1,2003
204,,0,0,1,2003
205,,0,0,1,2002
206,,0,0,1,2002
207,,0,0,1,2002
208,0,0,0,1,2005
209,0,0,0,1,2007
210,0,0,0,1,2007
211,0,0,0,1,2005
212,0,0,0,1,2006
213,0,0,0,1,2007
214,0,0,0,1,2007
215,0,0,0,1,2005
216,1,0,0,1,2005
217,1,0,0,1,2005
218,1,0,0,1,2005
219,,0,0,1,2006
220,0,0,0,1,2008
221,0,0,0,1,2008
222,0,0,0,1,2009
223,0,0,0,1,2008
224,1,0,0,1,2008
225,1,0,0,1,2008
226,,0,0,1,2009
227,,0,0,1,2008
228,,0,0,1,2008
229,0,0,0,1,2009
230,0,0,0,1,2009
347,0,,1,0,1995
348,0,6,1,0,1980
349,0,1,1,0,1993
350,0,2,1,0,1994
351,1,7,1,0,1992
352,1,1,1,0,1992
353,0,4,1,0,1996
354,0,2,1,0,1996
355,0,3,1,0,1995
356,0,3,1,0,1994
357,1,4,1,0,1995
358,0,6,1,0,1999
359,0,2,1,0,2001
360,0,3,1,0,2000
361,0,3,1,0,1999
362,1,5,1,0,2000
